"","BirdID","KnownSex","BillDepth","BillWidth","BillLength","Head","Mass","Skull","Sex"
"1","0000-00000","M",8.26,9.21,25.92,56.58,73.3,30.66,1
"2","1142-05901","M",8.54,8.76,24.99,56.36,75.1,31.38,1
"3","1142-05905","M",8.39,8.78,26.07,57.32,70.25,31.25,1
"4","1142-05907","F",7.78,9.3,23.48,53.77,65.5,30.29,0
"5","1142-05909","M",8.71,9.84,25.47,57.32,74.9,31.85,1
"6","1142-05911","F",7.28,9.3,22.25,52.25,63.9,30,0
"7","1142-05912","M",8.74,9.28,25.35,57.12,75.1,31.77,1
"8","1142-05914","M",8.72,9.94,30,60.67,78.1,30.67,1
"9","1142-05917","F",8.2,9.01,22.78,52.83,64,30.05,0
"10","1142-05920","F",7.67,9.31,24.61,54.94,67.33,30.33,0
"11","1142-05930","M",8.78,8.83,25.72,56.54,76.4,30.82,1
"12","1142-05941","F",8.15,8.67,24.66,54.69,71.5,30.03,0
"13","1142-05957","M",8.62,9.28,24.5,56.48,78.2,31.98,1
"14","1142-05971","F",7.65,9.11,23.93,55.75,73.4,31.83,0
"15","1142-05981","M",7.96,9.31,25.62,57.34,77,31.73,1
"16","1142-05986","F",8.17,8.49,23.15,53.05,65,29.9,0
"17","1142-05990","F",8.13,8.88,25,54.81,75.2,29.81,0
"18","1142-05991","M",8.19,9.98,25.4,58.7,75.7,33.3,1
"19","1142-05995","M",8.49,8.81,25.93,57.07,78.4,31.15,1
"20","1142-05996","M",8.35,9.57,24.4,55.79,70.6,31.39,1
"21","1142-05997","M",8.53,9.71,26.3,58.31,74.7,32,1
"22","1142-05998","M",8.07,8.38,23.62,54.51,70,30.89,1
"23","1142-05999","M",8.23,10.31,26.66,58.21,75.4,31.55,1
"24","702-90556","F",7.86,9.21,23.87,54.09,75.2,30.22,0
"25","702-90560","M",8.42,9.3,24.98,56.8,74.5,31.83,1
"26","702-90567","F",8.48,9.64,25.4,56.82,62.2,31.42,0
"27","702-90576","F",8.22,9.09,23,55.39,72.3,32.39,0
"28","702-90577","F",8.18,9.44,23.44,54.21,74,30.77,0
"29","702-90578","M",8.23,9.67,24.86,56.88,73.73,32.02,1
"30","702-90583","F",8.44,9.19,26.14,56.37,73.97,30.24,0
"31","872-94671","F",7.21,8.21,23.13,53.7,66.8,30.57,0
"32","872-94673","M",8.88,9.58,26.19,55.96,75.18,29.77,1
"33","872-94684","F",8.58,10.63,24.75,55.83,78.3,31.08,0
"34","872-94688","F",8.36,9.63,24.92,55.47,70.6,30.55,0
"35","872-94689","M",8.2,8.68,24.24,55.96,72.1,31.72,1
"36","872-94692","M",8.42,10.24,25.4,56.59,70.2,31.19,1
"37","872-94694","M",8.6,8.4,25.5,57.5,74,32,1
"38","872-94698","M",7.96,8.62,24.55,56.01,69.67,31.46,1
"39","872-94709","F",7.58,10,23.42,54.49,69.4,31.07,0
"40","872-94716","F",8.05,9.35,24.46,56.04,77.6,31.58,0
"41","872-94731","M",8.34,8.62,23.92,53.74,60.17,29.82,1
"42","872-94737","F",7.69,9.01,23.31,54.13,70.5,30.82,0
"43","872-94757","M",8.88,9.22,25.68,56.8,67.5,31.12,1
