,method,score,std,test_points,freq,dpoints,building_id,model,splits
0,baseline,94.0493611614747,3.6702279629727395,1460,60,8760,476,LinearRegression,5
1,baseline_cyc,94.17194838394184,1.0652319141436408,1460,60,8760,476,LinearRegression,5
2,frac,94.00748145819846,3.69742854623988,1460,60,8760,476,LinearRegression,5
3,frac_cyc,93.5523841407107,4.123807979777999,1460,60,8760,476,LinearRegression,5
4,domain,93.82068567084187,4.287432289449798,1460,60,8760,476,LinearRegression,5
0,baseline,95.72062601963009,1.0768356769314764,1460,60,8760,476,RandomForestRegressor,5
1,baseline_cyc,95.69911856743742,1.131123583347289,1460,60,8760,476,RandomForestRegressor,5
2,frac,95.53433996744279,1.0675808820229125,1460,60,8760,476,RandomForestRegressor,5
3,frac_cyc,95.49801934997316,1.222424839085234,1460,60,8760,476,RandomForestRegressor,5
4,domain,96.13258746952113,1.084321540304464,1460,60,8760,476,RandomForestRegressor,5
0,baseline,48.52103837551396,79.09820105677161,5822,15,34935,7,LinearRegression,5
1,baseline_cyc,31.11772112452705,11.242296244891714,5822,15,34935,7,LinearRegression,5
2,frac,42.042762638108755,75.81747511788099,5822,15,34935,7,LinearRegression,5
3,frac_cyc,37.111748359852385,9.520754808428586,5822,15,34935,7,LinearRegression,5
4,domain,40.19130672854012,9.37899108543954,5822,15,34935,7,LinearRegression,5
0,baseline,84.34332350811147,12.112373464989778,5822,15,34935,7,RandomForestRegressor,5
1,baseline_cyc,61.31934707948823,10.899668458923975,5822,15,34935,7,RandomForestRegressor,5
2,frac,75.85694640087311,13.034782479658002,5822,15,34935,7,RandomForestRegressor,5
3,frac_cyc,75.45938532700924,10.066937175241124,5822,15,34935,7,RandomForestRegressor,5
4,domain,74.97606088356001,7.985962215683534,5822,15,34935,7,RandomForestRegressor,5
0,baseline,69.81551877638151,2.8144509150675643,1460,60,8760,310,LinearRegression,5
1,baseline_cyc,72.41855550407641,16.803879301398297,1460,60,8760,310,LinearRegression,5
2,frac,69.59064477296505,1.9005346544131518,1460,60,8760,310,LinearRegression,5
3,frac_cyc,73.39620744798431,23.354802614087994,1460,60,8760,310,LinearRegression,5
4,domain,70.20917724898105,16.571839638241695,1460,60,8760,310,LinearRegression,5
0,baseline,75.51553984553806,7.150639017138734,1460,60,8760,310,RandomForestRegressor,5
1,baseline_cyc,77.28375222016537,4.217783394504697,1460,60,8760,310,RandomForestRegressor,5
2,frac,76.55762596364671,5.084950303437881,1460,60,8760,310,RandomForestRegressor,5
3,frac_cyc,81.59910896785335,5.071469506225955,1460,60,8760,310,RandomForestRegressor,5
4,domain,81.51025579685161,5.275825549122748,1460,60,8760,310,RandomForestRegressor,5
0,baseline,88.5205507666876,1.098864224788677,1460,60,8760,304,LinearRegression,5
1,baseline_cyc,91.68245164133218,1.0610994794409356,1460,60,8760,304,LinearRegression,5
2,frac,88.55356618933729,1.1209569490862579,1460,60,8760,304,LinearRegression,5
3,frac_cyc,91.97485003384641,2.1935119272348245,1460,60,8760,304,LinearRegression,5
4,domain,91.64169698433102,2.3499421167467682,1460,60,8760,304,LinearRegression,5
0,baseline,93.63935311864701,1.8774896516362354,1460,60,8760,304,RandomForestRegressor,5
1,baseline_cyc,93.27595180000512,1.3933831629203797,1460,60,8760,304,RandomForestRegressor,5
2,frac,94.33789377410045,2.2126115293496715,1460,60,8760,304,RandomForestRegressor,5
3,frac_cyc,93.94832270884704,1.4180492299795426,1460,60,8760,304,RandomForestRegressor,5
4,domain,94.40768677939933,1.1056786790113062,1460,60,8760,304,RandomForestRegressor,5
0,baseline,89.87111456541379,8.303486956451,1460,60,8760,462,LinearRegression,5
1,baseline_cyc,91.96581517574094,7.076937413267328,1460,60,8760,462,LinearRegression,5
2,frac,89.86620397830802,8.261186839837167,1460,60,8760,462,LinearRegression,5
3,frac_cyc,85.98837183498087,6.834386400084844,1460,60,8760,462,LinearRegression,5
4,domain,85.84100233165744,7.210943452965875,1460,60,8760,462,LinearRegression,5
0,baseline,94.42770930110086,10.878974442996487,1460,60,8760,462,RandomForestRegressor,5
1,baseline_cyc,94.28081272923998,9.395698531583637,1460,60,8760,462,RandomForestRegressor,5
2,frac,94.32178528560054,9.798427741990587,1460,60,8760,462,RandomForestRegressor,5
3,frac_cyc,93.08570645571811,8.427673118286357,1460,60,8760,462,RandomForestRegressor,5
4,domain,92.95672642704521,8.864221932110768,1460,60,8760,462,RandomForestRegressor,5
0,baseline,42.352433897284044,49.71677507067163,16238,15,97430,36,LinearRegression,5
1,baseline_cyc,-22.6438531055001,49.79081041514845,16238,15,97430,36,LinearRegression,5
2,frac,-0.9697598059411234,41.454463851049404,16238,15,97430,36,LinearRegression,5
3,frac_cyc,-15.081657552964373,50.88709551950724,16238,15,97430,36,LinearRegression,5
4,domain,-17.028656037037777,56.03161307747448,16238,15,97430,36,LinearRegression,5
0,baseline,49.622569250262835,24.827190033985875,16238,15,97430,36,RandomForestRegressor,5
1,baseline_cyc,0.16564581349794594,36.04778303745152,16238,15,97430,36,RandomForestRegressor,5
2,frac,40.646803479429096,30.90575887167256,16238,15,97430,36,RandomForestRegressor,5
3,frac_cyc,14.768515085758565,32.07547474868058,16238,15,97430,36,RandomForestRegressor,5
4,domain,13.071267523855184,34.02919894387823,16238,15,97430,36,RandomForestRegressor,5
0,baseline,58.58892983908671,10.140513912628139,1460,60,8760,338,LinearRegression,5
1,baseline_cyc,73.56281713054055,7.669890218513282,1460,60,8760,338,LinearRegression,5
2,frac,58.62740461506168,10.023631619663675,1460,60,8760,338,LinearRegression,5
3,frac_cyc,65.91858891251786,6.365180046328121,1460,60,8760,338,LinearRegression,5
4,domain,65.13898706979029,9.057313785509173,1460,60,8760,338,LinearRegression,5
0,baseline,85.2388256542735,5.768872177767941,1460,60,8760,338,RandomForestRegressor,5
1,baseline_cyc,76.60761382141446,7.866842943904939,1460,60,8760,338,RandomForestRegressor,5
2,frac,84.43961838104909,5.532481823216582,1460,60,8760,338,RandomForestRegressor,5
3,frac_cyc,79.70203093701457,4.120646919717261,1460,60,8760,338,RandomForestRegressor,5
4,domain,81.84556643739144,4.812013171256607,1460,60,8760,338,RandomForestRegressor,5
0,baseline,63.97919589026711,13.60113434555594,11050,15,66303,22,LinearRegression,5
1,baseline_cyc,73.8906863025885,2.4618962306763033,11050,15,66303,22,LinearRegression,5
2,frac,64.44170554279584,3.256788635692441,11050,15,66303,22,LinearRegression,5
3,frac_cyc,73.4893990769785,1.7307821229034321,11050,15,66303,22,LinearRegression,5
4,domain,73.09234554280391,1.9009083243355367,11050,15,66303,22,LinearRegression,5
0,baseline,82.17707352349609,1.489622422487746,11050,15,66303,22,RandomForestRegressor,5
1,baseline_cyc,81.8300435741218,1.5386310922105924,11050,15,66303,22,RandomForestRegressor,5
2,frac,82.28732116039365,1.3047244262734365,11050,15,66303,22,RandomForestRegressor,5
3,frac_cyc,82.15952942686299,1.3371679910385283,11050,15,66303,22,RandomForestRegressor,5
4,domain,81.86596088836049,1.5791813509677703,11050,15,66303,22,RandomForestRegressor,5
0,baseline,77.56633612340447,4.603886171729634,1460,60,8760,489,LinearRegression,5
1,baseline_cyc,85.52056888517052,1.254992402021271,1460,60,8760,489,LinearRegression,5
2,frac,77.45098787261696,4.597631127020561,1460,60,8760,489,LinearRegression,5
3,frac_cyc,83.1114593204801,5.5962167211104745,1460,60,8760,489,LinearRegression,5
4,domain,83.1149500638981,5.604522019422954,1460,60,8760,489,LinearRegression,5
0,baseline,89.45981007882472,3.4037783287803607,1460,60,8760,489,RandomForestRegressor,5
1,baseline_cyc,87.15989161726594,2.372922602070059,1460,60,8760,489,RandomForestRegressor,5
2,frac,89.30882147389136,3.208183214109445,1460,60,8760,489,RandomForestRegressor,5
3,frac_cyc,89.30079816963436,2.324344673204524,1460,60,8760,489,RandomForestRegressor,5
4,domain,89.2570468664174,2.404352078236459,1460,60,8760,489,RandomForestRegressor,5
0,baseline,27.04533769103506,1390025031.9691217,1460,60,8760,112,LinearRegression,5
1,baseline_cyc,42.33490791931438,48.626020039997925,1460,60,8760,112,LinearRegression,5
2,frac,23.656513254241602,44.44461792376279,1460,60,8760,112,LinearRegression,5
3,frac_cyc,46.37118662727221,55.38060093693641,1460,60,8760,112,LinearRegression,5
4,domain,46.13724053233539,56.308988542724684,1460,60,8760,112,LinearRegression,5
0,baseline,81.07976875873732,50.316970189256686,1460,60,8760,112,RandomForestRegressor,5
1,baseline_cyc,78.32544674513338,53.310576398522535,1460,60,8760,112,RandomForestRegressor,5
2,frac,79.45074133114883,64.9942099635457,1460,60,8760,112,RandomForestRegressor,5
3,frac_cyc,72.57310188167608,49.71740317612803,1460,60,8760,112,RandomForestRegressor,5
4,domain,74.08801239355994,51.093683645771826,1460,60,8760,112,RandomForestRegressor,5
