,method,score,freq,dpoints,building_id
0,normal,0.7018869741012463,60,8760,476
1,normal_cyc,-797983747364.7546,60,8760,476
2,frac,0.9364907385863364,60,8760,476
3,frac_cyc,-0.039583735426250606,60,8760,476
0,normal,-241190979929.46524,15,34935,7
1,normal_cyc,0.010950864699252466,15,34935,7
2,frac,-2353227469262.849,15,34935,7
3,frac_cyc,-119671920272.7085,15,34935,7
0,normal,0.46099687999851574,60,8760,310
1,normal_cyc,-4714789.096479036,60,8760,310
2,frac,0.6789531385166856,60,8760,310
3,frac_cyc,-0.5812057936695203,60,8760,310
0,normal,0.6861603313895097,60,8760,462
1,normal_cyc,-2491433094053.4614,60,8760,462
2,frac,0.8758663802469923,60,8760,462
3,frac_cyc,0.40026788840532485,60,8760,462
0,normal,-0.022377117873389196,15,97430,36
1,normal_cyc,-0.22792081200988878,15,97430,36
2,frac,-0.12514794779953292,15,97430,36
3,frac_cyc,-10.237897305177158,15,97430,36
0,normal,0.0249292628833525,60,8760,338
1,normal_cyc,-1312836175303.1975,60,8760,338
2,frac,0.5299426017204744,60,8760,338
3,frac_cyc,-3.160726932113225,60,8760,338
0,normal,0.4497111445823702,15,66303,22
1,normal_cyc,0.7032402763458359,15,66303,22
2,frac,0.5910820083489865,15,66303,22
3,frac_cyc,-60.9472723794514,15,66303,22
0,normal,0.3435171832894789,60,8760,489
1,normal_cyc,-3393810033244.822,60,8760,489
2,frac,0.7796865523046461,60,8760,489
3,frac_cyc,-2.3417134353422777,60,8760,489
0,normal,-7129745.089417636,60,8760,112
1,normal_cyc,-0.1583932027360567,60,8760,112
2,frac,0.2602125863930116,60,8760,112
3,frac_cyc,-0.09958682134638366,60,8760,112
0,normal,-25524798.72652345,60,8760,106
1,normal_cyc,-0.9845103847975151,60,8760,106
2,frac,-1.4535834662874032,60,8760,106
3,frac_cyc,-35.02488316257433,60,8760,106
0,normal,0.3103673886342469,60,8760,502
1,normal_cyc,-3241490707741.018,60,8760,502
2,frac,0.7289661794617632,60,8760,502
3,frac_cyc,-2.5931757689742114,60,8760,502
0,normal,0.5750489984808349,60,8760,264
1,normal_cyc,-705569523925.6061,60,8760,264
2,frac,0.862901846806344,60,8760,264
3,frac_cyc,0.45503011160584467,60,8760,264
0,normal,-0.17039993881182072,60,8760,270
1,normal_cyc,-1524010.6458608052,60,8760,270
2,frac,0.4797407839983162,60,8760,270
3,frac_cyc,-5.834247766046897,60,8760,270
0,normal,0.6904669879275379,60,8760,516
1,normal_cyc,-333550360287.6563,60,8760,516
2,frac,0.8448196820740294,60,8760,516
3,frac_cyc,0.06865478343536845,60,8760,516
0,normal,-0.32973700220068713,60,8760,258
1,normal_cyc,-51446446991326.83,60,8760,258
2,frac,-0.13305542042964053,60,8760,258
3,frac_cyc,-1.0633520035093165,60,8760,258
0,normal,0.2486524170976854,60,8760,259
1,normal_cyc,-4020640249185.342,60,8760,259
2,frac,0.7914705113687225,60,8760,259
3,frac_cyc,-1.1100129839534105,60,8760,259
0,normal,-54193597.544193916,60,8760,271
1,normal_cyc,0.6067564454283562,60,8760,271
2,frac,0.5439805251691276,60,8760,271
3,frac_cyc,-2.8288611475368164,60,8760,271
0,normal,-10727069.680379655,60,8760,517
1,normal_cyc,0.7781364316993263,60,8760,517
2,frac,0.8435195921631605,60,8760,517
3,frac_cyc,0.09445174591337337,60,8760,517
0,normal,0.830294274506716,60,8760,503
1,normal_cyc,-1463619810365.616,60,8760,503
2,frac,0.9167139547754244,60,8760,503
3,frac_cyc,0.37311957090342174,60,8760,503
0,normal,0.2785264862896774,60,8760,265
1,normal_cyc,0.6609056660959991,60,8760,265
2,frac,0.6037459278788849,60,8760,265
3,frac_cyc,-2.9050496276316977,60,8760,265
0,normal,0.5252580994877735,60,8760,107
1,normal_cyc,0.519866746296494,60,8760,107
2,frac,0.6150072321194656,60,8760,107
3,frac_cyc,-0.021942654542061766,60,8760,107
0,normal,-0.3642138712335072,60,8760,113
1,normal_cyc,-4013471241711.8223,60,8760,113
2,frac,0.7402378311293841,60,8760,113
3,frac_cyc,-1.2698525493254433,60,8760,113
0,normal,0.8742746168907332,60,8760,488
1,normal_cyc,-757638088234.9912,60,8760,488
2,frac,0.8946216436729728,60,8760,488
3,frac_cyc,0.3523644877631309,60,8760,488
0,normal,0.6951632633452653,60,8760,339
1,normal_cyc,-3015022258701.1953,60,8760,339
2,frac,0.8317111086787938,60,8760,339
3,frac_cyc,-2.239095375474177,60,8760,339
0,normal,-0.9584283866538502,15,36960,23
1,normal_cyc,-3005213161028.084,15,36960,23
2,frac,-0.8936206784616537,15,36960,23
3,frac_cyc,-466.5099184329493,15,36960,23
0,normal,0.041034535163908835,15,66303,37
1,normal_cyc,0.6122118073015419,15,66303,37
2,frac,0.36667568948229257,15,66303,37
3,frac_cyc,-112.74290269395402,15,66303,37
0,normal,0.4696572053016121,60,8760,305
1,normal_cyc,-34896169880.35206,60,8760,305
2,frac,0.7580697297682745,60,8760,305
3,frac_cyc,-1.6934110044315283,60,8760,305
0,normal,-37393816.616960645,60,8760,463
1,normal_cyc,0.3068797435932687,60,8760,463
2,frac,0.5716903790008494,60,8760,463
3,frac_cyc,-0.5498080550709189,60,8760,463
0,normal,0.5943995839871052,60,8760,477
1,normal_cyc,-563729727290.8805,60,8760,477
2,frac,0.7081158201158076,60,8760,477
3,frac_cyc,-0.7081386007988636,60,8760,477
0,normal,-0.07981888943805014,60,8760,311
1,normal_cyc,-6641123638609.007,60,8760,311
2,frac,0.6716028051929579,60,8760,311
3,frac_cyc,-1.1887587184944948,60,8760,311
0,normal,-0.33087389241489334,15,69975,6
1,normal_cyc,-1398293214466.3308,15,69975,6
2,frac,0.08518276540869832,15,69975,6
3,frac_cyc,-3.567852198489421,15,69975,6
0,normal,0.8153230730155427,60,8760,461
1,normal_cyc,-1706363427468.3235,60,8760,461
2,frac,0.9300637746608469,60,8760,461
3,frac_cyc,0.6638484665863184,60,8760,461
0,normal,0.575407710099108,60,8760,307
1,normal_cyc,-641463.1627345254,60,8760,307
2,frac,0.8313631779331416,60,8760,307
3,frac_cyc,-3.687521782196186,60,8760,307
0,normal,-2.9650205208466223,15,50913,4
1,normal_cyc,-1.0026640216017804,15,50913,4
2,frac,-1.3484427893430042,15,50913,4
3,frac_cyc,-1271.4882983066725,15,50913,4
0,normal,0.11219869952059462,60,8760,313
1,normal_cyc,-3868062287336.887,60,8760,313
2,frac,0.6537122522939878,60,8760,313
3,frac_cyc,-0.5687760201173733,60,8760,313
0,normal,0.7856148189423051,60,8760,475
1,normal_cyc,-578696282735.1906,60,8760,475
2,frac,0.9103102309816952,60,8760,475
3,frac_cyc,-0.7765428550393823,60,8760,475
0,normal,0.5922196734654771,15,96380,21
1,normal_cyc,-228428892373.5721,15,96380,21
2,frac,0.5889142487669586,15,96380,21
3,frac_cyc,0.5643737834999266,15,96380,21
0,normal,0.43890551586583204,60,8760,449
1,normal_cyc,-67531284235.51511,60,8760,449
2,frac,0.713411954292295,60,8760,449
3,frac_cyc,0.48602563823211486,60,8760,449
0,normal,-2.088128052406553,15,36588,35
1,normal_cyc,-6045011762260.5205,15,36588,35
2,frac,-2.302307268739391,15,36588,35
3,frac_cyc,-2239.7264747862982,15,36588,35
0,normal,-96101932.05036196,60,8760,105
1,normal_cyc,-2.6067199013528395,60,8760,105
2,frac,-2.8249626847292246,60,8760,105
3,frac_cyc,-39.618226938774995,60,8760,105
0,normal,-0.2160507772987659,60,8760,111
1,normal_cyc,-0.4457877602856182,60,8760,111
2,frac,-0.14214830086131527,60,8760,111
3,frac_cyc,-0.8064804471592139,60,8760,111
0,normal,-0.5766100319646634,60,8760,139
1,normal_cyc,-6917599039047.793,60,8760,139
2,frac,0.43242242034180617,60,8760,139
3,frac_cyc,-0.5108131688244651,60,8760,139
0,normal,0.7609518155622467,60,8760,515
1,normal_cyc,-485128849742.70685,60,8760,515
2,frac,0.9134762005122986,60,8760,515
3,frac_cyc,-0.15569247438292616,60,8760,515
0,normal,0.18024731586787357,60,8760,273
1,normal_cyc,-4620461803474.02,60,8760,273
2,frac,0.42284772708267065,60,8760,273
3,frac_cyc,-4.012163625079954,60,8760,273
0,normal,0.022208025500693823,60,8760,267
1,normal_cyc,-3870166.688349313,60,8760,267
2,frac,0.6517696176313948,60,8760,267
3,frac_cyc,-2.5864919984412347,60,8760,267
0,normal,0.7669207520394741,60,8760,501
1,normal_cyc,-1618566308418.2646,60,8760,501
2,frac,0.8367817610750936,60,8760,501
3,frac_cyc,0.1299063278643128,60,8760,501
0,normal,0.7539941081890644,60,8760,529
1,normal_cyc,-1388013052043.3586,60,8760,529
2,frac,0.9240278562489571,60,8760,529
3,frac_cyc,0.446344953866417,60,8760,529
0,normal,0.18072602709341348,60,8760,298
1,normal_cyc,-5003835177794.568,60,8760,298
2,frac,0.7103578083931877,60,8760,298
3,frac_cyc,-0.9621793168103698,60,8760,298
0,normal,0.3595753279088721,60,8760,299
1,normal_cyc,-2013633311559.954,60,8760,299
2,frac,0.6734663125068637,60,8760,299
3,frac_cyc,-1.2571852478906287,60,8760,299
0,normal,-4.4792630836655,60,8760,528
1,normal_cyc,-23377824287781.418,60,8760,528
2,frac,-2.1192903578723263,60,8760,528
3,frac_cyc,-15.539616764425556,60,8760,528
