,method,score,freq,dpoints,building_id
0,normal,0.9480476650764432,60,8760,476
1,normal_cyc,0.951698024459691,60,8760,476
2,frac,0.9444309927225701,60,8760,476
3,frac_cyc,0.9526290501636804,60,8760,476
0,normal,0.5166330386002658,15,34935,7
1,normal_cyc,0.4002328678807278,15,34935,7
2,frac,0.47287446269703104,15,34935,7
3,frac_cyc,0.5530070326293592,15,34935,7
0,normal,0.7445728103824134,60,8760,310
1,normal_cyc,0.784628979412971,60,8760,310
2,frac,0.8075438521641665,60,8760,310
3,frac_cyc,0.773517805567277,60,8760,310
0,normal,0.8851857755472534,60,8760,462
1,normal_cyc,0.8900796420132713,60,8760,462
2,frac,0.8939854436875623,60,8760,462
3,frac_cyc,0.8938653583644831,60,8760,462
0,normal,0.28838794717167504,15,97430,36
1,normal_cyc,-0.050320313677978734,15,97430,36
2,frac,0.23938263221789507,15,97430,36
3,frac_cyc,0.06755500878633247,15,97430,36
0,normal,0.7501998468232458,60,8760,338
1,normal_cyc,0.740701087445,60,8760,338
2,frac,0.7336298102511478,60,8760,338
3,frac_cyc,0.7445426023740653,60,8760,338
0,normal,0.7960816037236093,15,66303,22
1,normal_cyc,0.8019438709530331,15,66303,22
2,frac,0.7990592510997848,15,66303,22
3,frac_cyc,0.8063436483814603,15,66303,22
0,normal,0.8439242745105457,60,8760,489
1,normal_cyc,0.849748178185687,60,8760,489
2,frac,0.8366371738613362,60,8760,489
3,frac_cyc,0.8711022566870733,60,8760,489
0,normal,0.43010397091891445,60,8760,112
1,normal_cyc,0.23125164615044425,60,8760,112
2,frac,0.24805753425021124,60,8760,112
3,frac_cyc,0.3042744448958695,60,8760,112
0,normal,-1.0653211058439598,60,8760,106
1,normal_cyc,-1.5163769698099876,60,8760,106
2,frac,-1.3924455386998742,60,8760,106
3,frac_cyc,-1.37764717025356,60,8760,106
0,normal,0.8383158529428193,60,8760,502
1,normal_cyc,0.8212178300489973,60,8760,502
2,frac,0.8197549135237183,60,8760,502
3,frac_cyc,0.8539187452616724,60,8760,502
0,normal,0.9191256257591929,60,8760,264
1,normal_cyc,0.925050376463371,60,8760,264
2,frac,0.913572552282717,60,8760,264
3,frac_cyc,0.9328851813195949,60,8760,264
0,normal,0.688070801794041,60,8760,270
1,normal_cyc,0.6959607096357714,60,8760,270
2,frac,0.5796054253700328,60,8760,270
3,frac_cyc,0.7060736111785535,60,8760,270
0,normal,0.8865027132438706,60,8760,516
1,normal_cyc,0.8289043122416349,60,8760,516
2,frac,0.854869764105285,60,8760,516
3,frac_cyc,0.858532797820698,60,8760,516
0,normal,0.42682469614689966,60,8760,258
1,normal_cyc,0.028428527599899372,60,8760,258
2,frac,0.22150845473243597,60,8760,258
3,frac_cyc,0.24242080676008707,60,8760,258
0,normal,0.7872519058168146,60,8760,259
1,normal_cyc,0.8320735734905131,60,8760,259
2,frac,0.8028469385129982,60,8760,259
3,frac_cyc,0.8495929715719907,60,8760,259
0,normal,0.7541110654809932,60,8760,271
1,normal_cyc,0.7071884261925293,60,8760,271
2,frac,0.7200830261163434,60,8760,271
3,frac_cyc,0.7507392652601834,60,8760,271
0,normal,0.8808604122127224,60,8760,517
1,normal_cyc,0.8830659093626204,60,8760,517
2,frac,0.8777903761479458,60,8760,517
3,frac_cyc,0.8706321393708435,60,8760,517
0,normal,0.9511638275869525,60,8760,503
1,normal_cyc,0.9462244093311718,60,8760,503
2,frac,0.949079174668206,60,8760,503
3,frac_cyc,0.9522423082789604,60,8760,503
0,normal,0.6888588346834559,60,8760,265
1,normal_cyc,0.6673808167260368,60,8760,265
2,frac,0.6350467010494955,60,8760,265
3,frac_cyc,0.7020133058960752,60,8760,265
0,normal,0.5991919185384209,60,8760,107
1,normal_cyc,0.5987717566863562,60,8760,107
2,frac,0.6144581758159501,60,8760,107
3,frac_cyc,0.625430004056087,60,8760,107
0,normal,0.7372606861082748,60,8760,113
1,normal_cyc,0.7926199939726424,60,8760,113
2,frac,0.7413053873438865,60,8760,113
3,frac_cyc,0.8126803714400981,60,8760,113
0,normal,0.8986191084011204,60,8760,488
1,normal_cyc,0.9017107490492777,60,8760,488
2,frac,0.8987101167786243,60,8760,488
3,frac_cyc,0.8942776393386098,60,8760,488
0,normal,0.8313622309034655,60,8760,339
1,normal_cyc,0.8524169173341134,60,8760,339
2,frac,0.8321008454303961,60,8760,339
3,frac_cyc,0.8603892244768927,60,8760,339
0,normal,0.11068674311254252,15,36960,23
1,normal_cyc,0.16180302154366694,15,36960,23
2,frac,0.1114960305456471,15,36960,23
3,frac_cyc,0.181951488724014,15,36960,23
0,normal,0.7565420808985885,15,66303,37
1,normal_cyc,0.7788008613510123,15,66303,37
2,frac,0.7622099952463507,15,66303,37
3,frac_cyc,0.7895364841064559,15,66303,37
0,normal,0.8600285119141595,60,8760,305
1,normal_cyc,0.8435567504554489,60,8760,305
2,frac,0.8624145451706298,60,8760,305
3,frac_cyc,0.8589726824267109,60,8760,305
0,normal,0.5979331536917623,60,8760,463
1,normal_cyc,0.6946779489297484,60,8760,463
2,frac,0.6516119584330162,60,8760,463
3,frac_cyc,0.626529937578465,60,8760,463
0,normal,0.7203215233170546,60,8760,477
1,normal_cyc,0.7440744458211042,60,8760,477
2,frac,0.7298777769305784,60,8760,477
3,frac_cyc,0.703809076824387,60,8760,477
0,normal,0.7679947165589083,60,8760,311
1,normal_cyc,0.7982353833858432,60,8760,311
2,frac,0.7775161351276095,60,8760,311
3,frac_cyc,0.8159384889605613,60,8760,311
0,normal,0.6740500653479408,15,69975,6
1,normal_cyc,0.4972056402321954,15,69975,6
2,frac,0.6911015094093264,15,69975,6
3,frac_cyc,0.6960158462442857,15,69975,6
0,normal,0.9361506986081182,60,8760,461
1,normal_cyc,0.9445506679109258,60,8760,461
2,frac,0.9370308935067152,60,8760,461
3,frac_cyc,0.941588073048201,60,8760,461
0,normal,0.8421005424770406,60,8760,307
1,normal_cyc,0.8449758692483431,60,8760,307
2,frac,0.8269227190684604,60,8760,307
3,frac_cyc,0.8591145032502274,60,8760,307
0,normal,-0.7908715977573468,15,50913,4
1,normal_cyc,-1.0314682120161391,15,50913,4
2,frac,-1.1407074476896708,15,50913,4
3,frac_cyc,-1.1329481004358213,15,50913,4
0,normal,0.6419366987516236,60,8760,313
1,normal_cyc,0.7041019385295516,60,8760,313
2,frac,0.661677857429047,60,8760,313
3,frac_cyc,0.7193133528807668,60,8760,313
0,normal,0.9248692822946647,60,8760,475
1,normal_cyc,0.9189656601344491,60,8760,475
2,frac,0.9208306361405297,60,8760,475
3,frac_cyc,0.9128391795684904,60,8760,475
0,normal,0.7884224888504141,15,96380,21
1,normal_cyc,0.787663830930092,15,96380,21
2,frac,0.7903648746229726,15,96380,21
3,frac_cyc,0.8012124913703149,15,96380,21
0,normal,0.6446042780596758,60,8760,449
1,normal_cyc,0.7289560592474302,60,8760,449
2,frac,0.7200804865991317,60,8760,449
3,frac_cyc,0.7727758288232295,60,8760,449
0,normal,-0.6303268711803621,15,36588,35
1,normal_cyc,-0.7292766661901878,15,36588,35
2,frac,-0.713162072086623,15,36588,35
3,frac_cyc,-0.7188724704043026,15,36588,35
0,normal,-2.4776708746229734,60,8760,105
1,normal_cyc,-2.4391284746940536,60,8760,105
2,frac,-2.450306065724316,60,8760,105
3,frac_cyc,-2.761531570547705,60,8760,105
0,normal,0.5267914450119248,60,8760,111
1,normal_cyc,0.3686801746083695,60,8760,111
2,frac,0.5577144701851066,60,8760,111
3,frac_cyc,0.5484304730731165,60,8760,111
0,normal,0.5159523424086664,60,8760,139
1,normal_cyc,0.4495228268938963,60,8760,139
2,frac,0.44367233805758993,60,8760,139
3,frac_cyc,0.5325028144797948,60,8760,139
0,normal,0.9374217732752897,60,8760,515
1,normal_cyc,0.9285132650410921,60,8760,515
2,frac,0.9312011818346935,60,8760,515
3,frac_cyc,0.9475901263751432,60,8760,515
0,normal,0.7979618007432603,60,8760,273
1,normal_cyc,0.7770739760813259,60,8760,273
2,frac,0.8078952578181247,60,8760,273
3,frac_cyc,0.8019607190493675,60,8760,273
0,normal,0.7719848402945794,60,8760,267
1,normal_cyc,0.7052957598118557,60,8760,267
2,frac,0.6215076134039915,60,8760,267
3,frac_cyc,0.8154996494792455,60,8760,267
0,normal,0.9040586764374892,60,8760,501
1,normal_cyc,0.8803460593441911,60,8760,501
2,frac,0.8974897505939654,60,8760,501
3,frac_cyc,0.9085200603378544,60,8760,501
0,normal,0.9373963237855376,60,8760,529
1,normal_cyc,0.9401888219249213,60,8760,529
2,frac,0.9446038025974576,60,8760,529
3,frac_cyc,0.9420338498096064,60,8760,529
0,normal,0.7341260690362319,60,8760,298
1,normal_cyc,0.7276868691518392,60,8760,298
2,frac,0.7231093659749768,60,8760,298
3,frac_cyc,0.791692772125612,60,8760,298
0,normal,0.8539070800654552,60,8760,299
1,normal_cyc,0.8018991476066185,60,8760,299
2,frac,0.8137503590202627,60,8760,299
3,frac_cyc,0.7957173844994437,60,8760,299
0,normal,0.2473535285611985,60,8760,528
1,normal_cyc,-0.21102212108475998,60,8760,528
2,frac,0.23036589164169263,60,8760,528
3,frac_cyc,0.3309503095452524,60,8760,528
0,normal,0.7428685567984341,60,8760,266
1,normal_cyc,0.7218034843453652,60,8760,266
2,frac,0.7338913330020136,60,8760,266
3,frac_cyc,0.7227903168732683,60,8760,266
0,normal,0.9376539105498852,60,8760,500
1,normal_cyc,0.9466350185940878,60,8760,500
2,frac,0.9397369626133253,60,8760,500
3,frac_cyc,0.9484657690658462,60,8760,500
0,normal,0.9584650131910687,60,8760,514
1,normal_cyc,0.957496674536348,60,8760,514
2,frac,0.9587813950298867,60,8760,514
3,frac_cyc,0.9567325072732147,60,8760,514
0,normal,0.6332217164790177,60,8760,272
1,normal_cyc,0.3034590671029717,60,8760,272
2,frac,0.30627899031640443,60,8760,272
3,frac_cyc,-0.1830808022274372,60,8760,272
0,normal,-10.553820103170118,60,8760,138
1,normal_cyc,-9.626209758525881,60,8760,138
2,frac,-7.117243201242813,60,8760,138
3,frac_cyc,-8.906539350633441,60,8760,138
0,normal,0.8425691880521889,60,8760,110
1,normal_cyc,0.772242044389574,60,8760,110
2,frac,0.8427688836623541,60,8760,110
3,frac_cyc,0.8431517899904736,60,8760,110
0,normal,0.61407734523413,60,8760,104
1,normal_cyc,0.5551711697465819,60,8760,104
2,frac,0.6595187181452566,60,8760,104
3,frac_cyc,0.6244707336117429,60,8760,104
0,normal,0.9047480962514355,15,67887,34
1,normal_cyc,0.9043256783976846,15,67887,34
2,frac,0.8983562410281173,15,67887,34
3,frac_cyc,0.9063776391427572,15,67887,34
0,normal,0.9455346952143021,60,8760,448
1,normal_cyc,0.9497470565375695,60,8760,448
2,frac,0.9472223265072672,60,8760,448
3,frac_cyc,0.9542804266118331,60,8760,448
0,normal,0.282352138888937,15,70066,20
1,normal_cyc,0.18739059395987875,15,70066,20
2,frac,0.2133485593697251,15,70066,20
3,frac_cyc,0.22360073594793078,15,70066,20
0,normal,0.698671921528832,60,8760,312
1,normal_cyc,0.720714603603164,60,8760,312
2,frac,0.6596531689604122,60,8760,312
3,frac_cyc,0.7964543050189585,60,8760,312
0,normal,0.7949738419683332,15,66015,5
1,normal_cyc,0.8074795297148166,15,66015,5
2,frac,0.8067781367678316,15,66015,5
3,frac_cyc,0.8158345573792922,15,66015,5
0,normal,0.9440731627670648,60,8760,474
1,normal_cyc,0.9519246836264621,60,8760,474
2,frac,0.9503162421352639,60,8760,474
3,frac_cyc,0.9518434946481157,60,8760,474
0,normal,0.8217828550867261,60,8760,460
1,normal_cyc,0.7949310040081822,60,8760,460
2,frac,0.7230702331119624,60,8760,460
3,frac_cyc,0.8152174314688618,60,8760,460
0,normal,0.8021806136758506,60,8760,306
1,normal_cyc,0.8121032592046252,60,8760,306
2,frac,0.8051850101889815,60,8760,306
3,frac_cyc,0.799553207302689,60,8760,306
0,normal,0.885469945670584,60,8760,458
1,normal_cyc,0.8937780002925939,60,8760,458
2,frac,0.904767504835562,60,8760,458
3,frac_cyc,0.9051091059861276,60,8760,458
0,normal,0.8517783848781637,15,65823,24
1,normal_cyc,0.8564177392370123,15,65823,24
2,frac,0.8567484173518248,15,65823,24
3,frac_cyc,0.8653785866216598,15,65823,24
0,normal,0.7644342951620825,15,66111,30
1,normal_cyc,0.7654686432439463,15,66111,30
2,frac,0.7673186607147396,15,66111,30
3,frac_cyc,0.771590606206176,15,66111,30
0,normal,0.7997881494933943,60,8760,302
1,normal_cyc,0.8329857755568535,60,8760,302
2,frac,0.8239420417896076,60,8760,302
3,frac_cyc,0.8396301249900132,60,8760,302
0,normal,0.9465495592468156,60,8784,464
1,normal_cyc,0.9426155388605605,60,8784,464
2,frac,0.9403211441643572,60,8784,464
3,frac_cyc,0.9435147066874406,60,8784,464
0,normal,0.531468101116184,15,73743,18
1,normal_cyc,0.5336146623938259,15,73743,18
2,frac,0.5146294287289477,15,73743,18
3,frac_cyc,0.5394050088038004,15,73743,18
0,normal,0.7936712720075022,60,8760,470
1,normal_cyc,0.8093339394422729,60,8760,470
2,frac,0.8101178645913122,60,8760,470
3,frac_cyc,0.8264841191513966,60,8760,470
