,method,score,std,test_points,freq,dpoints,building_id,model,splits
0,baseline,93.0061381720384,1.223962724800056,1752,60,8760,476,LinearRegression,4
1,baseline_cyc,88.19011524404276,11.72836906547292,1752,60,8760,476,LinearRegression,4
2,frac,93.12524105887714,1.1300054462597393,1752,60,8760,476,LinearRegression,4
3,frac_cyc,86.37120850576406,14.20735237018179,1752,60,8760,476,LinearRegression,4
4,domain,85.84861954281989,14.8007947945968,1752,60,8760,476,LinearRegression,4
0,baseline,96.10283595632461,0.37946306409586766,1752,60,8760,476,RandomForestRegressor,4
1,baseline_cyc,95.3108820983941,0.5550983256069598,1752,60,8760,476,RandomForestRegressor,4
2,frac,95.82348042761302,0.43607639872460685,1752,60,8760,476,RandomForestRegressor,4
3,frac_cyc,95.5563757660357,0.8163101156909887,1752,60,8760,476,RandomForestRegressor,4
4,domain,95.82569786431164,0.5374086391028852,1752,60,8760,476,RandomForestRegressor,4
0,baseline,-8.754000184350128,98.0655581414655,6987,15,34935,7,LinearRegression,4
1,baseline_cyc,28.218322927321985,13.919339508255744,6987,15,34935,7,LinearRegression,4
2,frac,-14.826722480649982,94.57730753361228,6987,15,34935,7,LinearRegression,4
3,frac_cyc,31.005730471167105,12.215337327554948,6987,15,34935,7,LinearRegression,4
4,domain,30.805555490976424,16.69304316417329,6987,15,34935,7,LinearRegression,4
0,baseline,71.5235971482724,12.518745458118293,6987,15,34935,7,RandomForestRegressor,4
1,baseline_cyc,58.353667177864814,9.392890254859065,6987,15,34935,7,RandomForestRegressor,4
2,frac,65.01069563852357,13.829423866733496,6987,15,34935,7,RandomForestRegressor,4
3,frac_cyc,76.02987775656064,9.756549328326043,6987,15,34935,7,RandomForestRegressor,4
4,domain,76.02656600790337,10.380773018427867,6987,15,34935,7,RandomForestRegressor,4
0,baseline,68.65450154312025,1.8738506370684285,1752,60,8760,310,LinearRegression,4
1,baseline_cyc,66.41620257576571,7.8626183336859325,1752,60,8760,310,LinearRegression,4
2,frac,69.05993875345789,1.6937017655626256,1752,60,8760,310,LinearRegression,4
